# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
CADBPJ010000001.1	cds	36	431	-	BBJOLO_00001	-	-	-	-	-	-
CADBPJ010000001.1	cds	668	1135	-	BBJOLO_00002	220.0	1.3e-72	0.948	0.812	0.673	UniRef:UniRef50_G1UYM3
CADBPJ010000001.1	cds	1613	2872	-	BBJOLO_00003	504.0	1.9e-176	0.974	0.960	0.578	UniRef:UniRef50_R0CJT6
CADBPJ010000001.1	cds	2990	3184	-	BBJOLO_00004	98.6	2.3e-27	0.969	0.827	0.758	UniRef:UniRef50_G1VUW8
CADBPJ010000001.1	cds	3258	4103	-	BBJOLO_00005	382.0	7.4e-133	0.993	0.949	0.703	UniRef:UniRef50_E1QY75
CADBPJ010000001.1	cds	4100	4336	-	BBJOLO_00006	-	-	-	-	-	-
CADBPJ010000002.1	cds	22	975	-	BBJOLO_00007	-	-	-	-	-	-
CADBPJ010000002.1	cds	1015	1587	-	BBJOLO_00008	-	-	-	-	-	-
CADBPJ010000002.1	cds	1602	2084	-	BBJOLO_00009	177.0	2.3e-55	0.963	0.851	0.643	UniRef:UniRef50_A0A1V5XGT6
CADBPJ010000002.1	cds	2100	2909	-	BBJOLO_00010	-	-	-	-	-	-
CADBPJ010000003.1	cds	1709	2539	+	BBJOLO_00011	-	-	-	-	-	-
CADBPJ010000003.1	cds	2591	3169	-	BBJOLO_00012	176.0	4.5e-54	0.943	0.883	0.514	UniRef:UniRef50_A0A1H3LS01
CADBPJ010000003.1	cds	3196	4134	-	BBJOLO_00013	274.0	5.9e-90	0.840	0.946	0.508	UniRef:UniRef50_C0D327
CADBPJ010000003.1	cds	4183	6273	+	BBJOLO_00014	801.0	8.8e-284	0.981	0.896	0.685	UniRef:UniRef50_A0A1C5R5C0
CADBPJ010000004.1	cds	304	1269	-	BBJOLO_00015	-	-	-	-	-	-
CADBPJ010000004.1	cds	1244	2170	-	BBJOLO_00016	321.0	1.2e-107	0.994	0.911	0.513	UniRef:UniRef50_C0CQV2
CADBPJ010000004.1	cds	2318	3670	-	BBJOLO_00017	-	-	-	-	-	-
CADBPJ010000004.1	cds	3648	5132	-	BBJOLO_00018	719.0	1.5e-258	0.986	0.938	0.690	UniRef:UniRef50_A0A9D5M162
CADBPJ010000004.1	cds	5369	6154	-	BBJOLO_00019	291.0	2.3e-97	0.992	0.956	0.517	UniRef:UniRef50_A0A7X6VGS9
CADBPJ010000004.1	cds	6147	7058	-	BBJOLO_00020	327.0	3.7e-110	0.997	0.959	0.550	UniRef:UniRef50_A0A316PA84
CADBPJ010000004.1	cds	7064	7903	-	BBJOLO_00021	455.0	1.4e-161	1.0	0.962	0.803	UniRef:UniRef50_A0A316P4P7
CADBPJ010000004.1	cds	7894	8970	-	BBJOLO_00022	350.0	7.7e-118	1.011	0.971	0.519	UniRef:UniRef50_A0A3D4QWY9
CADBPJ010000004.1	cds	8984	10408	-	BBJOLO_00023	529.0	1.5e-184	0.935	0.902	0.537	UniRef:UniRef50_A0A1V5Y8Y7
CADBPJ010000004.1	cds	10439	11854	-	BBJOLO_00024	875.0	0.0	0.998	1.0	0.864	UniRef:UniRef50_G5IK04
CADBPJ010000004.1	cds	12012	12890	+	BBJOLO_00025	276.0	1.8e-90	0.962	0.859	0.534	UniRef:UniRef50_A0A416HB29
CADBPJ010000004.1	cds	12913	13824	+	BBJOLO_00026	-	-	-	-	-	-
CADBPJ010000005.1	cds	63	1124	+	BBJOLO_00027	378.0	1.3e-128	0.992	0.928	0.534	UniRef:UniRef50_A0A316QGN9
CADBPJ010000005.1	cds	1241	1474	+	BBJOLO_00028	85.5	6.5e-22	0.987	0.974	0.579	UniRef:UniRef50_D4LEI9
CADBPJ010000005.1	cds	1458	1865	+	BBJOLO_00029	183.0	1.1e-58	1.0	0.912	0.681	UniRef:UniRef50_D4LEI8
CADBPJ010000005.1	cds	2005	2946	+	BBJOLO_00030	356.0	3.1e-121	0.994	0.901	0.556	UniRef:UniRef50_A0A810QL27
CADBPJ010000005.1	cds	2943	3299	+	BBJOLO_00031	-	-	-	-	-	-
CADBPJ010000005.1	cds	3467	3814	+	BBJOLO_00032	-	-	-	-	-	-
CADBPJ010000005.1	cds	4096	4506	+	BBJOLO_00033	-	-	-	-	-	-
CADBPJ010000006.1	cds	15	782	+	BBJOLO_00034	-	-	-	-	-	-
CADBPJ010000006.1	cds	766	2988	+	BBJOLO_00035	1111.0	0.0	0.993	0.980	0.720	UniRef:UniRef50_A0A1C6A108
