# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
CACVWD010000001.1	cds	185	661	+	BMNMOC_00001		hypothetical protein	
CACVWD010000001.1	cds	791	1576	+	BMNMOC_00002		hypothetical protein	PFAM:PF01734.28
CACVWD010000001.1	cds	1628	2605	-	BMNMOC_00003		hypothetical protein	PFAM:PF00512.31, PFAM:PF02518.31, PFAM:PF12860.13
CACVWD010000001.1	cds	2609	3277	-	BMNMOC_00004		Stage 0 sporulation A-like protein	SO:0001217, UniRef:UniRef50_A0A174Z049
CACVWD010000001.1	cds	3279	4610	-	BMNMOC_00005		hypothetical protein	PFAM:PF04389.22, PFAM:PF07687.19
CACVWD010000001.1	cds	4629	5567	-	BMNMOC_00006		hypothetical protein	PFAM:PF10035.14
CACVWD010000001.1	cds	5691	6683	-	BMNMOC_00007		Ornithine carbamoyltransferase	SO:0001217, UniRef:UniRef50_A0A1E8EXB9
CACVWD010000001.1	cds	6726	7946	-	BMNMOC_00008		Arginine deiminase	SO:0001217, UniRef:UniRef50_B5RN40
CACVWD010000001.1	cds	7958	8842	-	BMNMOC_00009		hypothetical protein	PFAM:PF01520.23
CACVWD010000001.1	cds	8844	9437	-	BMNMOC_00010	recR	Recombination protein RecR	SO:0001217, UniRef:UniRef50_A0Q3R3
CACVWD010000001.1	cds	9439	9780	-	BMNMOC_00011		Nucleoid-associated protein INP52_09375	SO:0001217, UniRef:UniRef50_A0A7S7MA98
CACVWD010000001.1	cds	9794	11476	-	BMNMOC_00012		hypothetical protein	PFAM:PF00004.35, PFAM:PF13177.12, PFAM:PF13401.12, PFAM:PF13604.12, PFAM:PF22608.2
CACVWD010000001.1	cds	11614	12789	+	BMNMOC_00013		hypothetical protein	
CACVWD010000001.1	cds	12794	14128	+	BMNMOC_00014	radA	DNA repair protein RadA	SO:0001217, UniRef:UniRef50_A0A7X8R0G3
CACVWD010000001.1	cds	14204	14794	-	BMNMOC_00015		hypothetical protein	PFAM:PF00398.26, PFAM:PF08241.18, PFAM:PF08242.18, PFAM:PF13489.12, PFAM:PF13649.12, PFAM:PF13847.12
CACVWD010000001.1	cds	14798	16045	-	BMNMOC_00016		Fe/B12 periplasmic-binding domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3D2G210
CACVWD010000001.1	cds	16042	16809	-	BMNMOC_00017		ABC transporter domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1Q6R745
CACVWD010000001.1	cds	16802	17851	-	BMNMOC_00018		Iron ABC transporter permease	SO:0001217, UniRef:UniRef50_A0A1Q6R747
CACVWD010000001.1	cds	17998	18429	-	BMNMOC_00019		DUF3842 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1B2I702
CACVWD010000001.1	cds	18442	18882	-	BMNMOC_00020		hypothetical protein	
CACVWD010000001.1	cds	18886	19095	-	BMNMOC_00021		hypothetical protein	
CACVWD010000001.1	cds	19278	20237	+	BMNMOC_00022		hypothetical protein	
CACVWD010000001.1	cds	20304	21371	-	BMNMOC_00023		hypothetical protein	PFAM:PF09992.14
CACVWD010000001.1	cds	21375	23399	-	BMNMOC_00024		UvrABC system protein B	SO:0001217, UniRef:UniRef50_Q67T57
CACVWD010000001.1	cds	23399	23683	-	BMNMOC_00025		hypothetical protein	PFAM:PF07876.18
CACVWD010000001.1	cds	23697	24407	-	BMNMOC_00026		Purine nucleoside phosphorylase DeoD-type	SO:0001217, UniRef:UniRef50_A0A7U9RS35
CACVWD010000001.1	cds	24427	26130	-	BMNMOC_00027		Phosphoglucomutase	SO:0001217, UniRef:UniRef50_A0A940BZV2
CACVWD010000001.1	cds	26127	27434	-	BMNMOC_00028		Pseudouridine synthase RsuA/RluA-like domain-containing protein	SO:0001217, UniRef:UniRef50_A0A316QMB7
CACVWD010000001.1	cds	27419	28279	-	BMNMOC_00029		S-adenosylmethionine-dependent methyltransferase domain-containing protein	SO:0001217, UniRef:UniRef50_C0C677
CACVWD010000001.1	cds	28292	29572	-	BMNMOC_00030		UDP-N-acetylglucosamine 1-carboxyvinyltransferase	SO:0001217, UniRef:UniRef50_A0A1V5XI46
CACVWD010000001.1	cds	29642	30490	-	BMNMOC_00031		hypothetical protein	
CACVWD010000001.1	cds	30594	31115	+	BMNMOC_00032		hypothetical protein	PFAM:PF10469.15
CACVWD010000001.1	cds	31124	34375	+	BMNMOC_00033		hypothetical protein	PFAM:PF12705.13, PFAM:PF21445.3
CACVWD010000001.1	cds	34372	37653	+	BMNMOC_00034		hypothetical protein	PFAM:PF00580.27, PFAM:PF12705.13, PFAM:PF13245.12, PFAM:PF13361.12, PFAM:PF13538.12
CACVWD010000001.1	cds	37650	38930	+	BMNMOC_00035		hypothetical protein	PFAM:PF17125.10, PFAM:PF17126.11
CACVWD010000001.1	cds	38944	39738	+	BMNMOC_00036		hypothetical protein	PFAM:PF00398.26, PFAM:PF08241.18, PFAM:PF13649.12
CACVWD010000001.1	cds	39775	40362	-	BMNMOC_00037		hypothetical protein	PFAM:PF00932.25
CACVWD010000001.1	cds	40515	41894	+	BMNMOC_00038		Glycerol kinase	SO:0001217, UniRef:UniRef50_A4FNR2
CACVWD010000001.1	cds	41917	43035	+	BMNMOC_00039	ybiC	Uncharacterized oxidoreductase ybiC	SO:0001217, UniRef:UniRef50_A0A1C5N0F2
CACVWD010000001.1	cds	43150	43863	+	BMNMOC_00040		RCK C-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7C6XV77
CACVWD010000001.1	cds	43883	44134	+	BMNMOC_00041		Fatty acid kinase subunit A-like middle domain-containing protein	SO:0001217, UniRef:UniRef50_D1PJ85
CACVWD010000001.1	cds	44282	45076	-	BMNMOC_00042		hypothetical protein	PFAM:PF13508.13, PFAM:PF13673.13
CACVWD010000001.1	cds	45127	46407	-	BMNMOC_00043		Serine--tRNA ligase	SO:0001217, UniRef:UniRef50_A0A2J8B9E2
CACVWD010000001.1	cds	46411	48099	-	BMNMOC_00044		Arginine--tRNA ligase	SO:0001217, UniRef:UniRef50_A0A090YJJ4
CACVWD010000001.1	cds	48230	49105	-	BMNMOC_00045		hypothetical protein	
CACVWD010000002.1	cds	32	424	+	BMNMOC_00046		hypothetical protein	PFAM:PF07992.20
CACVWD010000002.1	cds	648	3389	+	BMNMOC_00047		hypothetical protein	PFAM:PF00656.27, PFAM:PF07679.22, PFAM:PF07686.23, PFAM:PF09479.16, PFAM:PF13473.12, PFAM:PF13895.12, PFAM:PF13927.12
CACVWD010000002.1	cds	3550	4824	+	BMNMOC_00048		Phospholipid/glycerol acyltransferase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7C6NTN8
CACVWD010000002.1	cds	4973	6340	+	BMNMOC_00049		Iron-sulfur protein	SO:0001217, UniRef:UniRef50_A0A7X7B7K0
CACVWD010000002.1	cds	6337	6948	+	BMNMOC_00050		5'-deoxynucleotidase	SO:0001217, UniRef:UniRef50_A0A1T4VM26
CACVWD010000002.1	cds	7059	8567	-	BMNMOC_00051		IMP dehydrogenase	SO:0001217, UniRef:UniRef50_A0A520S5T5
CACVWD010000002.1	cds	9113	10579	+	BMNMOC_00052		hypothetical protein	
CACVWD010000002.1	cds	10618	12684	+	BMNMOC_00053		UDP-N-acetylglucosamine 4,6-dehydratase / UDP-D-quinovosamine 4-dehydrogenase	SO:0001217, UniRef:UniRef50_Q1WTD1
