#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
CACVWD010000001.1	185	661	+	BMNMOC_00001	16.7	4.6		
CACVWD010000001.1	791	1576	+	BMNMOC_00002	27.8	5.7	PF01734.28|Patatin	PFAM:PF01734.28
CACVWD010000001.1	1628	2605	-	BMNMOC_00003	36.0	5.3	PF00512.31|HisKA, PF02518.31|HATPase_c, PF12860.13|PAS_7	PFAM:PF00512.31, PFAM:PF02518.31, PFAM:PF12860.13
CACVWD010000001.1	3279	4610	-	BMNMOC_00005	48.4	5.0	PF04389.22|Peptidase_M28, PF07687.19|M20_dimer	PFAM:PF04389.22, PFAM:PF07687.19
CACVWD010000001.1	4629	5567	-	BMNMOC_00006	34.0	9.7	PF10035.14|DUF2179	PFAM:PF10035.14
CACVWD010000001.1	7958	8842	-	BMNMOC_00009	31.4	4.4	PF01520.23|Amidase_3	PFAM:PF01520.23
CACVWD010000001.1	9794	11476	-	BMNMOC_00012	60.7	5.5	PF00004.35|AAA, PF13177.12|DNA_pol3_delta2, PF13401.12|AAA_22, PF13604.12|AAA_30, PF22608.2|DNAX_ATPase_lid	PFAM:PF00004.35, PFAM:PF13177.12, PFAM:PF13401.12, PFAM:PF13604.12, PFAM:PF22608.2
CACVWD010000001.1	11614	12789	+	BMNMOC_00013	43.1	4.9		
CACVWD010000001.1	14204	14794	-	BMNMOC_00015	21.5	5.2	PF00398.26|RrnaAD, PF08241.18|Methyltransf_11, PF08242.18|Methyltransf_12, PF13489.12|Methyltransf_23, PF13649.12|Methyltransf_25, PF13847.12|Methyltransf_31	PFAM:PF00398.26, PFAM:PF08241.18, PFAM:PF08242.18, PFAM:PF13489.12, PFAM:PF13649.12, PFAM:PF13847.12
CACVWD010000001.1	18442	18882	-	BMNMOC_00020	16.1	5.4		
CACVWD010000001.1	18886	19095	-	BMNMOC_00021	7.6	5.2		
CACVWD010000001.1	19278	20237	+	BMNMOC_00022	35.1	4.6		
CACVWD010000001.1	20304	21371	-	BMNMOC_00023	39.3	4.6	PF09992.14|NAGPA	PFAM:PF09992.14
CACVWD010000001.1	23399	23683	-	BMNMOC_00025	11.0	5.5	PF07876.18|Dabb	PFAM:PF07876.18
CACVWD010000001.1	29642	30490	-	BMNMOC_00031	31.5	4.9		
CACVWD010000001.1	30594	31115	+	BMNMOC_00032	19.1	6.4	PF10469.15|AKAP7_NLS	PFAM:PF10469.15
